iter	Logloss	Recall	Precision	Accuracy
0	0.6729626809	0.8888888889	1	0.9333333333
1	0.6437106973	1	1	1
2	0.6267997421	1	1	1
3	0.6053753251	1	1	1
4	0.5856615298	1	1	1
5	0.5671760294	1	1	1
6	0.5449507936	1	1	1
7	0.531226967	1	1	1
8	0.513811377	1	1	1
9	0.4985699927	1	1	1
10	0.4882350018	1	1	1
11	0.4748680114	1	1	1
12	0.4610136792	1	1	1
13	0.450454232	1	1	1
14	0.4388779826	1	1	1
15	0.424726056	1	1	1
16	0.4150473061	1	1	1
17	0.4057973373	1	1	1
18	0.39399605	1	1	1
19	0.3816729044	1	1	1
20	0.3719704937	1	1	1
21	0.3623347477	1	1	1
22	0.3499479333	1	1	1
23	0.3417790901	1	1	1
24	0.3311909997	1	1	1
25	0.3226267205	1	1	1
26	0.3178021648	1	1	1
27	0.3089255505	1	1	1
28	0.302066315	1	1	1
29	0.2949186945	1	1	1
30	0.2890136286	1	1	1
31	0.2796675475	1	1	1
32	0.2728650844	1	1	1
33	0.2662981917	1	1	1
34	0.2599259855	1	1	1
35	0.2545261363	1	1	1
36	0.2474555637	1	1	1
37	0.2424331927	1	1	1
38	0.2366502758	1	1	1
39	0.2322872331	1	1	1
40	0.2274979476	1	1	1
41	0.2230540253	1	1	1
42	0.2182557613	1	1	1
43	0.2134480222	1	1	1
44	0.2091344585	1	1	1
45	0.205101948	1	1	1
46	0.1994972355	1	1	1
47	0.1958911079	1	1	1
48	0.1924292413	1	1	1
49	0.1866207497	1	1	1
50	0.1815629526	1	1	1
51	0.1780689791	1	1	1
52	0.1748317642	1	1	1
53	0.1722734931	1	1	1
54	0.1697776179	1	1	1
55	0.1650301118	1	1	1
56	0.1620060009	1	1	1
57	0.159278851	1	1	1
58	0.1552401318	1	1	1
59	0.152697518	1	1	1
60	0.1497173745	1	1	1
61	0.1473187488	1	1	1
62	0.1453521806	1	1	1
63	0.1416217122	1	1	1
64	0.1386462643	1	1	1
65	0.1361434647	1	1	1
66	0.132970626	1	1	1
67	0.1309087298	1	1	1
68	0.1284824971	1	1	1
69	0.1262675173	1	1	1
70	0.1233624459	1	1	1
71	0.1216062466	1	1	1
72	0.1196270712	1	1	1
73	0.1180776582	1	1	1
74	0.1156598394	1	1	1
75	0.1138319259	1	1	1
76	0.1118111208	1	1	1
77	0.1095635411	1	1	1
78	0.1084632225	1	1	1
79	0.10677534	1	1	1
80	0.105374287	1	1	1
81	0.103483118	1	1	1
82	0.1023670104	1	1	1
83	0.1009110839	1	1	1
84	0.09974783156	1	1	1
85	0.09855871701	1	1	1
86	0.09711695003	1	1	1
87	0.09564181488	1	1	1
88	0.0946527616	1	1	1
89	0.09367200317	1	1	1
90	0.09228898187	1	1	1
91	0.09107878614	1	1	1
92	0.08999975709	1	1	1
93	0.08912787735	1	1	1
94	0.08797826037	1	1	1
95	0.08624733561	1	1	1
96	0.08513231123	1	1	1
97	0.08404083478	1	1	1
98	0.08309410963	1	1	1
99	0.0817407757	1	1	1
100	0.07985129234	1	1	1
101	0.07860436007	1	1	1
102	0.07772843352	1	1	1
103	0.07665197187	1	1	1
104	0.07590144389	1	1	1
105	0.0749385763	1	1	1
106	0.07330553909	1	1	1
107	0.07217774826	1	1	1
108	0.07135162965	1	1	1
109	0.0706588039	1	1	1
110	0.07011350896	1	1	1
111	0.06954995198	1	1	1
112	0.06862589183	1	1	1
113	0.06784324737	1	1	1
114	0.06707133764	1	1	1
115	0.06620536148	1	1	1
116	0.0656447998	1	1	1
117	0.0648978762	1	1	1
118	0.06440601239	1	1	1
119	0.06387626857	1	1	1
120	0.06315657119	1	1	1
121	0.06193361377	1	1	1
122	0.06145914913	1	1	1
123	0.06093125283	1	1	1
124	0.06047482237	1	1	1
125	0.05967361336	1	1	1
126	0.05893894842	1	1	1
127	0.05847896006	1	1	1
128	0.0574087496	1	1	1
129	0.05684065954	1	1	1
130	0.05639599737	1	1	1
131	0.05593926083	1	1	1
132	0.05547359361	1	1	1
133	0.05504863937	1	1	1
134	0.05458143825	1	1	1
135	0.05418451186	1	1	1
136	0.05378929452	1	1	1
137	0.05330216228	1	1	1
138	0.05288512338	1	1	1
139	0.05198299879	1	1	1
140	0.05160566218	1	1	1
141	0.05129032162	1	1	1
142	0.0509560726	1	1	1
143	0.05058114571	1	1	1
144	0.05025399731	1	1	1
145	0.04987323863	1	1	1
146	0.04951129476	1	1	1
147	0.04910295576	1	1	1
148	0.04880391579	1	1	1
149	0.04837557095	1	1	1
150	0.0478572152	1	1	1
151	0.04755765351	1	1	1
152	0.04715254594	1	1	1
153	0.0468611927	1	1	1
154	0.04661796069	1	1	1
155	0.04633026874	1	1	1
156	0.04560932663	1	1	1
157	0.04490971413	1	1	1
158	0.04464076703	1	1	1
159	0.04416612511	1	1	1
160	0.04386327601	1	1	1
161	0.04359582551	1	1	1
162	0.04335759276	1	1	1
163	0.04271815967	1	1	1
164	0.04242149761	1	1	1
165	0.04214503015	1	1	1
