ID	Class	ENSG00000101363	ENSG00000204310	ENSG00000138642	ENSG00000182621	ENSG00000107643	ENSG00000138801	ENSG00000168283	ENSG00000142541	ENSG00000162298	ENSG00000127616	ENSG00000182774	ENSG00000248905	ENSG00000065665	ENSG00000116209	ENSG00000048740	ENSG00000112739	ENSG00000088832	ENSG00000136156	ENSG00000174197	ENSG00000082438	ENSG00000164978	ENSG00000111859	ENSG00000140511	ENSG00000259845	ENSG00000105355	ENSG00000141510	ENSG00000128335	ENSG00000117450	ENSG00000071564	ENSG00000165526	ENSG00000160584	ENSG00000183323	ENSG00000131503	ENSG00000197956	ENSG00000166037	ENSG00000132305	ENSG00000115355	ENSG00000009413	ENSG00000177885	ENSG00000141367	ENSG00000148339	ENSG00000155508	ENSG00000198848	ENSG00000184640	ENSG00000179335	ENSG00000183291	ENSG00000213999	ENSG00000254901	ENSG00000142512	ENSG00000132842	ENSG00000274588	ENSG00000116731	ENSG00000054654	ENSG00000183506	ENSG00000135631	ENSG00000157601	ENSG00000145191	ENSG00000131051	ENSG00000100129	ENSG00000198586	ENSG00000119950	ENSG00000133226	ENSG00000100697	ENSG00000132824	ENSG00000060237	ENSG00000089597	ENSG00000130856	ENSG00000138326	ENSG00000171163	ENSG00000177409	ENSG00000079387	ENSG00000105726	ENSG00000012817	ENSG00000073921	ENSG00000196323	ENSG00000160055	ENSG00000198851	ENSG00000156265	ENSG00000118058	ENSG00000174780	ENSG00000182149	ENSG00000187735	ENSG00000175711	ENSG00000165629	ENSG00000089820	ENSG00000143537	ENSG00000109332	ENSG00000163453	ENSG00000226752	ENSG00000114126	ENSG00000043143	ENSG00000133641	ENSG00000174437	ENSG00000212694	ENSG00000178950	ENSG00000199568	ENSG00000212443	ENSG00000131174	ENSG00000161970
C32	CTR	3.562231718	3.780777651	4.995739638	5.801822713	5.734313391	5.239514404	5.116355647	10.01533725	6.045795283	7.139040187	3.626834381	6.545687886	3.998702929	6.571707627	9.141500803	7.520497069	7.168789971	8.670363016	7.675239289	5.233599879	3.004611312	6.897650747	4.403505794	-0.548238414	4.949580691	6.226397537	5.88341312	4.789476301	6.339484648	4.419224501	7.337522135	4.138203073	4.562944817	7.809523465	6.254416241	6.239737407	7.191088057	6.705920275	7.968870838	8.397655142	4.723484532	6.396182084	3.812865805	9.270583306	7.017806667	6.384218807	-0.393773301	4.500282197	5.453090033	6.876930794	3.722846546	7.912142205	10.14092335	4.450157275	4.740267619	6.520405289	5.591322464	9.170039572	6.959875145	7.450831651	5.047227163	7.370236955	7.907506067	7.525951845	9.262436912	7.663188682	6.266052714	7.690971926	4.844842266	7.264712861	5.191505034	6.39485772	7.219045958	8.456921055	7.697432129	3.149862468	7.913067648	6.982093468	8.536244768	6.499608864	7.235416307	6.450735331	3.42364126	5.887185619	8.207456747	5.807806121	8.57827216	3.504457993	6.126207461	6.736564259	7.895381915	4.005660757	7.47735196	4.387613938	7.455920866	3.162369778	1.793269182	4.702227335	4.3607322
C35	CTR	3.403319471	3.946300067	4.968177392	6.391455665	5.871518791	5.261626306	5.06727397	9.917590225	5.918039658	7.163412926	3.842068498	5.375357043	3.902548138	6.553465849	9.237630073	7.469207037	7.126646638	8.674498352	7.739630955	4.705045185	3.38223658	7.0576773	3.895125391	-0.925180678	5.122350082	6.248780939	6.027325334	4.657578402	6.254593216	4.51474006	7.277709601	4.429957351	4.361585776	7.742218878	6.010249027	6.204426029	7.284827491	6.692697778	7.989232016	8.339904582	4.524394694	6.394091058	2.247216898	9.338731705	7.090544522	6.186295061	0.811105435	4.657578402	5.633554573	6.901592459	3.865046498	7.997920721	10.1609941	4.226160685	5.36464779	5.522320156	5.590544091	9.218613838	7.024894277	7.350073026	5.159999055	7.473574379	7.988796204	7.452236634	9.188378032	7.731839216	6.114602254	7.910887203	4.730292653	6.896954643	5.083692224	6.321189106	7.050177837	8.482621965	7.733921132	3.328140711	7.804957676	6.485894752	8.514762346	6.631476938	7.234983812	6.189332757	3.90993289	5.916207342	8.297600507	5.925345737	8.595409404	4.128255968	5.757437483	6.779917454	8.019842929	3.818718592	7.620343717	4.237944502	7.587332069	2.753404428	2.100030044	4.838737986	4.323382613
C4	CTR	3.141914387	3.818672376	5.410437004	5.802973723	5.883834983	5.041586805	5.263084844	10.15896478	5.661282521	6.936031266	4.031852368	5.843207956	3.920543729	6.65577301	9.389520123	7.668596187	7.20307251	8.792051705	7.721027422	5.114209765	3.265497863	6.829905801	5.006584741	-0.302425567	4.902047652	5.930549347	5.519505776	4.691015162	6.135111916	4.43160731	7.073121508	4.286513306	4.836098488	7.944466296	6.298741595	6.127613178	7.416573649	6.811303654	7.888997026	8.160730711	4.589140391	6.476515444	3.729016396	8.939593878	7.148541317	6.360821173	0.156430908	4.348034902	5.408375578	6.983882667	1.897557268	7.905534066	10.16561638	4.707875065	4.607226183	6.969273697	5.692112237	9.349386947	6.902737152	7.606565557	5.190566799	7.389135838	8.146887681	7.490052286	8.982314336	7.452030539	6.101056334	7.966000233	4.848315657	7.906994893	5.141769111	6.158604006	-2.807093047	8.350910968	7.603415422	3.387720186	7.435929724	7.641648255	8.520109691	6.75644634	7.223734634	6.419315996	3.914746339	6.008827566	8.208605629	5.211998561	8.701514067	3.523432169	6.17203187	6.667886732	7.783597904	4.125178396	7.323920664	4.617969821	7.220213506	3.171387671	1.897557268	4.854385663	4.522087353
C5	CTR	3.207970573	3.548807737	5.174842742	6.17745095	5.948930007	5.352007693	5.236347	10.28384413	5.686882155	6.885167573	4.130706468	6.535441881	3.598535378	6.762373073	9.256279355	7.611545635	7.178753288	8.705766146	7.913649803	5.375969741	3.13120686	6.815032386	4.373802817	-0.535105892	5.072980886	5.737700523	5.779621681	4.837871621	6.081620073	4.711741085	7.351242446	3.925198982	4.594093309	7.934776136	6.197759705	6.245365118	6.978115799	6.782234167	7.900906477	8.313248466	4.626415919	6.560751326	0.779179687	8.996922445	7.274920755	6.481243217	-0.159528909	4.36425132	4.531464481	6.940848898	0.992599696	7.80487877	10.15863769	4.411388726	5.061205853	6.57427745	5.875189111	9.245914294	7.240094549	7.519347211	5.275090571	7.205075781	8.117146103	7.52042261	9.12315996	7.52739323	6.159615772	7.301438279	4.861826471	7.635565347	5.337437071	6.28006584	-2.807093047	8.450749484	7.692967698	3.479720143	7.603956717	6.737618372	8.541210703	6.66751055	7.373432759	6.395925061	3.85191239	5.858277489	8.234178447	5.53340723	8.682175776	3.142426359	6.858201925	6.578413949	7.905441198	4.107994336	7.500396801	4.788734595	7.422003306	2.951518641	0.595451566	4.518605725	3.86551712
C6	CTR	3.116245606	3.670435543	5.656306816	5.535189199	5.894896798	5.123734784	5.402963836	10.36833396	5.856649323	6.866632233	4.040466539	5.812155721	3.802272846	6.704750348	9.242846347	7.827140079	7.244349799	8.722120063	7.863654012	5.290197965	3.516821815	6.719651363	4.98878076	2.774791143	4.722736094	5.9886101	5.677449498	5.001030134	6.253409165	4.603281254	7.138133492	4.170879525	4.566663796	8.042814364	6.324583892	6.290059484	7.083741992	6.886576368	7.991171099	8.156350207	4.545911864	6.523442856	4.115620592	9.065571429	7.052450771	6.477060738	0.032520453	4.516348357	5.159692628	6.882444015	0.581686251	7.939202671	10.19382251	4.28547613	5.013176379	7.242416419	5.787616846	9.253284865	7.01216839	7.577554314	5.46175496	7.385939395	8.177753499	7.574483781	9.055879808	7.508981479	6.062063789	8.008718123	4.860202307	7.937211984	5.412166034	6.219739473	-2.807093047	8.276477104	7.700009925	3.354459972	7.772363324	7.269883637	8.564688466	6.867468766	7.181831879	6.607961031	3.802272846	6.025054813	8.21470834	5.140442145	8.739587679	3.127463173	6.88740142	6.314803791	7.903351076	4.432909738	7.346883057	4.512075107	7.30117826	3.245421497	1.762050101	4.98878076	4.574881705
C61	CTR	3.358459816	4.138468375	4.698064911	5.680226471	5.936605929	5.172759739	4.998592627	10.27226328	6.042566467	7.16420529	4.138468375	5.610933173	3.940035004	6.591998307	9.224453229	7.509837101	7.228211277	8.981878754	7.643925676	4.755854356	2.76361622	6.947377015	5.230972083	-0.4967996	5.070194233	5.959741891	5.674244481	4.513829874	6.486711032	4.815047069	7.283615987	4.103281848	4.518289243	7.737257604	6.073197426	6.145604416	6.811362549	6.665204338	8.049106741	8.062145471	4.705905232	6.538120754	4.426372695	9.359348994	7.416765775	6.097242391	0.267532119	4.281743141	5.570709893	6.811362549	2.621628742	8.17235589	9.925390123	4.682255275	4.833057564	5.841943111	5.587782894	9.581763157	7.093496527	7.759559056	5.330685195	7.551225018	7.951908629	7.647492266	9.311976067	7.68912312	6.176967959	7.953144335	4.949905356	6.745373584	5.17558567	6.325579654	-2.807093047	8.361370218	7.558820965	3.266026921	7.922770863	8.256506499	8.525975907	6.572833359	7.265162064	6.080754616	3.800549281	5.859622979	8.216589016	5.546899656	8.880742474	3.266026921	4.629643643	6.721400357	8.09348895	3.919952649	7.480428186	5.132604232	7.62905515	3.097453987	1.086214638	4.861414706	4.535990143
C7	CTR	3.014598047	3.459108258	5.331536552	5.545155325	5.98227878	5.185036307	5.362166308	10.47391906	5.592749193	6.848294837	4.424530048	4.920135694	4.011481576	6.869105115	9.303983497	7.623520966	6.643002941	8.515545494	7.966810512	4.481442045	2.807621764	6.787530506	4.756836374	-1.276138165	4.488400744	5.865532239	6.198205013	4.70699697	5.993327893	4.739441925	7.095619461	4.171363474	4.575935898	7.71720693	6.30158052	6.050868525	6.090281088	6.807143627	7.716836642	8.202459646	4.59862301	6.575986961	3.187042623	9.141046405	7.259160153	6.523599563	-0.243104423	4.303492913	4.987992928	6.865100677	1.735121101	7.934053836	10.78259911	4.334717426	5.961174499	6.39063178	5.824876732	9.388712884	7.117666086	7.429274687	5.189313206	7.247927517	7.928947675	7.552670225	9.094061015	7.602428243	6.039068681	7.145997114	4.902009384	7.770273937	5.475070125	6.120829925	-2.807093047	8.416642973	8.098565524	3.220861466	7.44902782	6.490189379	8.66851382	6.68146384	7.377738565	6.505705662	3.741324321	6.184344586	8.337926469	4.807795706	8.574569929	3.752928802	6.232802522	7.224154633	8.277443187	4.380322516	7.493804993	4.608237897	7.436488976	2.226248152	1.203522409	4.698020227	4.077575275
L10	cancer	3.308241415	5.766409676	4.665792146	5.977397283	5.900888366	5.919926577	5.170678575	10.28927598	5.695262849	7.120211025	4.692608796	6.888570553	3.224963144	7.292256169	9.528989726	7.605567258	8.549886477	9.676074089	7.462927749	4.467852888	3.35375601	6.587701313	4.692608796	-0.889661709	6.351512288	5.728037876	5.470953879	5.407621345	6.38751921	4.02283838	7.486106139	4.268390887	4.582215062	8.830292706	6.037903955	6.30012477	7.862828267	6.666468062	8.727605395	8.942072935	4.890888658	6.593641759	4.778560015	9.04255817	7.299543258	6.733643735	-0.889661709	4.256457867	6.11757491	7.275354848	1.242014377	7.731058935	9.5459396	4.786880074	4.718936064	6.379289326	5.728037876	9.469984952	7.370458601	8.391480036	8.268761202	7.681718103	8.823989745	8.148412089	10.66963487	7.666580684	6.153407961	8.521499416	4.436465992	7.273135659	5.444902348	6.245330432	7.302447819	9.16290799	7.512685181	3.38697374	7.489933256	7.223429383	8.164066224	6.592455625	7.384918032	6.838420722	4.00868033	6.500595602	8.1728224	5.529145136	9.291086712	3.97994046	5.690836043	6.156621806	7.30968374	3.60967859	7.944120277	4.38258766	7.37391449	2.384784843	1.982844275	5.385877232	5.148251161
L11	cancer	3.67665048	4.73172159	4.646886786	5.974062606	5.620691649	6.02957086	4.748784603	11.04700296	6.101736992	7.41920098	4.548978143	5.991370654	2.99683711	7.321653171	9.260688373	6.78663591	7.762366799	9.134593144	7.412791983	2.678503847	4.126466132	6.776687736	5.538693941	-2.278544141	7.27824334	5.899623596	5.798369151	5.600154984	6.076279214	4.613741936	7.738220783	4.686389566	4.115983669	9.558679236	5.510958856	6.201780807	7.35546445	6.166660525	9.048329243	8.819354041	5.008841846	6.805513607	3.573165948	10.00529101	7.606356096	6.799794325	-0.624457721	4.821553181	5.864047813	6.937129641	2.528494019	7.519047123	9.72278353	4.427077005	5.914821839	6.46290152	6.255298469	8.892574435	7.627727957	7.264664989	5.341348859	6.919154327	8.500968132	7.62218314	9.050567111	8.524442292	5.943264702	7.285277288	5.179629057	6.204256985	4.942167361	7.089559914	-2.807093047	8.362337759	7.389589742	3.799646967	7.476660246	6.306901666	7.973416755	6.612083179	7.761526376	6.025376001	4.875372427	6.312650562	9.365623915	7.046049938	8.487816442	5.209517121	4.481169843	6.531553671	8.084105001	2.99683711	8.088467899	4.881574109	8.155578134	0.785296982	0.887441184	4.552869328	4.142048387
L21	cancer	3.479421159	3.834591164	4.945826124	5.729815178	5.89356124	5.119741757	4.938699607	10.26469553	5.827576997	6.890903643	3.583610493	4.884098167	3.66359232	6.702851137	8.863965767	7.352964122	7.189214607	8.765452214	7.733091129	5.052009518	3.377696042	6.768631951	4.629115122	-1.762420188	4.956450325	5.904575891	5.929954352	4.891498865	6.307270553	4.455245568	7.142681414	4.378319611	4.659776349	7.847384312	6.113613606	6.045586143	7.148098157	6.760571515	7.772203592	8.33377827	4.383577603	6.321038386	3.795677319	9.07712927	6.938123547	6.393196083	0.665074439	4.727504724	5.420159405	6.855392385	2.738400832	7.675845936	9.888920902	4.499506257	4.792195605	5.286203145	5.989790626	8.904765266	7.094597156	7.586905079	4.991309692	6.755510778	7.916575286	7.461368066	8.850501042	7.614559096	6.088075171	7.439445821	5.147823895	7.435654045	5.126029641	6.410041383	7.451387784	8.306009423	7.692888681	3.388197455	7.680125534	7.777206212	8.372307087	6.646010219	7.16422742	6.30033705	3.706182525	6.089684636	8.202335869	5.586702749	8.414015028	3.268250422	4.756164552	6.595926359	7.853554996	4.014818595	7.461989548	4.55648433	7.370282946	1.800756107	1.229588627	4.445222694	4.068040568
