Gene_Symbol
MANBAL
AGPAT1
HERC6
PLCB1
MAPK8
PAPSS1
BMI1
RPL13A
RPL13A
SYVN1
SMARCA4
RPS17
FMN1
SEC61A2
TMEM59
CELF2
PRPF4B
FKBP1A
ITM2B
MGA
COBLL1
NUDT2
NEDD9
HAPLN3
HERC2P10
PLIN3
TP53
APOL2
PRDX1
TCF3
RPUSD4
SIK3
CCDC125
ANKHD1
S100A6
CEP57
IMMT
CCDC88A
REV3L
GRB2
CLTC
CLTC
SLC25A25
CNOT8
CES1
SEPTIN9
CLK3
SELENOF
MEF2B
BORCS8
SIGLEC10
AP3B1
DGKK
PRDM2
SYNE2
PI4KAP2
RAB11FIP5
MX1
EIF2B5
RBM39
EIF3L
TLK1
MXI1
SRRM1
DICER1
SERINC3
WNK1
GANAB
ZNF236
RPS24
ZNF692
SAMD9L
SENP1
ATP13A1
KDM5D
PICALM
ZBTB44
TMEM234
CD3E
MAP3K7CL
KMT2A
HBZ
SRP72
IST1
TCEA1
B3GNTL1
ATP5F1C
ARHGAP4
ADAM15
UBE2D3
IGFBP7
CUTALP
TFDP2
JADE2
C12orf29
ATP2A2
LINC01089
GAK
RNU5A-1
SNORA53
COX7B
RPL26
