iter	Logloss	Recall	Precision	Accuracy
0	0.6593692942	1	1	1
1	0.6454221567	1	1	1
2	0.6215433467	1	1	1
3	0.6040150218	1	1	1
4	0.5819428704	1	1	1
5	0.557008373	1	1	1
6	0.5416207376	1	1	1
7	0.5235252132	1	1	1
8	0.5032251072	1	1	1
9	0.4845713381	1	1	1
10	0.4643668623	1	1	1
11	0.4427438674	1	1	1
12	0.4212531342	1	1	1
13	0.4086224381	1	1	1
14	0.392309119	1	1	1
15	0.3839167353	1	1	1
16	0.371458091	1	1	1
17	0.3600452264	1	1	1
18	0.3488957736	1	1	1
19	0.3396793475	1	1	1
20	0.3305179181	1	1	1
21	0.3186958296	1	1	1
22	0.3085359319	1	1	1
23	0.2992352009	1	1	1
24	0.2929439103	1	1	1
25	0.2805877103	1	1	1
26	0.2730522576	1	1	1
27	0.2650607458	1	1	1
28	0.2582475142	1	1	1
29	0.2518163637	1	1	1
30	0.2437848084	1	1	1
31	0.2385147102	1	1	1
32	0.2313948044	1	1	1
33	0.2276036553	1	1	1
34	0.2236843646	1	1	1
35	0.2187609253	1	1	1
36	0.21426727	1	1	1
37	0.2076297741	1	1	1
38	0.2025310363	1	1	1
39	0.1970075662	1	1	1
40	0.1919967638	1	1	1
41	0.187480943	1	1	1
42	0.181837246	1	1	1
43	0.1781264909	1	1	1
44	0.1744342581	1	1	1
45	0.1709175488	1	1	1
46	0.1675774316	1	1	1
47	0.164533586	1	1	1
48	0.1612000151	1	1	1
49	0.1581810386	1	1	1
50	0.1549666929	1	1	1
51	0.1517257521	1	1	1
52	0.1490038401	1	1	1
53	0.1447060527	1	1	1
54	0.1418638017	1	1	1
55	0.1395873457	1	1	1
56	0.1364933262	1	1	1
57	0.1339387312	1	1	1
58	0.1319335909	1	1	1
59	0.1292968669	1	1	1
60	0.1272568367	1	1	1
61	0.1244638598	1	1	1
62	0.1208882697	1	1	1
63	0.1190073669	1	1	1
64	0.1172090583	1	1	1
65	0.1152743194	1	1	1
66	0.1127876975	1	1	1
67	0.1105473885	1	1	1
68	0.1091145527	1	1	1
69	0.1074161681	1	1	1
70	0.1054635467	1	1	1
71	0.1036549264	1	1	1
72	0.1019803211	1	1	1
73	0.1006621576	1	1	1
74	0.09874773418	1	1	1
75	0.09747606593	1	1	1
76	0.09595242755	1	1	1
77	0.09455711099	1	1	1
78	0.09282749222	1	1	1
79	0.09102996088	1	1	1
80	0.09020691574	1	1	1
81	0.08805709582	1	1	1
82	0.08702750963	1	1	1
83	0.08552737107	1	1	1
84	0.08410814694	1	1	1
85	0.08339153373	1	1	1
86	0.08165831195	1	1	1
87	0.08013607108	1	1	1
88	0.07908735942	1	1	1
89	0.07813757893	1	1	1
90	0.07648132386	1	1	1
91	0.07575587765	1	1	1
92	0.07514879879	1	1	1
93	0.07432030335	1	1	1
94	0.0730508079	1	1	1
95	0.07229108006	1	1	1
96	0.07146841324	1	1	1
97	0.0705784736	1	1	1
98	0.06978283966	1	1	1
99	0.06887839786	1	1	1
