ID	CTR001	CTR002	CTR003	CTR004	CTR005	CTR006	CTR007	CTR009	CTR010	CTR012	CTR013	CTR014	CTR016	CTR017	CTR018	CTR019	PSP001	PSP002	PSP003	PSP004	PSP005	PSP006	PSP007	PSP008	PSP009	PSP010	PSP011	PSP012	PSP013	PSP014	PSP015	PSP016	PSP017	PSP018	PSP019	PSP020	PSP021	PSP022	PSP023	PSP024	PSP025
ENSG00000110911	4.870346513	4.854040595	4.845338049	5.024934618	5.109013326	5.028750642	4.899303572	5.102201658	4.890550749	4.897821333	5.02415493	4.609810567	5.199633003	4.950700369	4.746267939	4.806882415	4.758825239	4.96205086	4.814809567	4.926691402	4.8557581	4.747501773	5.053578038	4.854303708	4.933324127	4.977740694	5.087458675	5.061673477	4.876257394	4.887529247	4.915213997	4.991986979	5.178466841	4.950176507	5.236790589	4.813099041	4.903834174	5.019808834	5.08950533	5.200821159	5.127076016
ENSG00000151465	5.167705396	5.306754511	5.341784705	5.285545152	5.034557323	5.412673295	5.530948413	5.358882125	5.329526947	5.814023799	5.306920418	5.660729531	5.054787572	5.079818142	5.320015552	5.25883878	5.647966967	5.362670456	5.280260476	5.733068619	5.668890867	5.364799438	5.162569259	6.041815881	5.280816311	5.340071228	4.912635352	5.241842116	5.3945459	5.588221605	5.707880405	5.655777007	4.836277529	5.546785893	5.142154843	5.471458876	5.277825863	5.206380819	5.346600529	5.133756934	5.340612573
ENSG00000138399	3.94156404	3.769981882	3.856129448	3.929708809	4.284817688	3.22055828	4.116697076	3.805192828	4.284253909	3.967511733	4.121423462	3.613041189	4.185392491	3.922335096	3.83388851	4.126198919	3.610685279	4.176747333	3.699549042	3.411272438	3.818424565	3.940670988	3.946660784	3.531373507	3.814423675	3.756784706	4.584460439	3.81820394	3.739696076	3.741588396	3.795387047	4.023431106	4.335431657	3.9227377	4.06417208	3.944895422	3.800896312	3.667001562	4.03173445	4.166699552	3.756467499
ENSG00000289424	4.124546554	4.840538742	4.095990794	4.233551262	4.76703621	4.490430937	4.668001916	4.823707407	4.425613734	3.980851177	4.564855561	4.256280226	4.362096797	4.769718076	4.05184632	4.687185779	4.300855973	4.36485078	4.666768216	4.509448581	4.410614306	4.593129962	4.624246351	4.481139145	4.52470887	4.33836574	4.830892901	4.602605523	4.293624818	4.492763378	3.938837126	4.093419299	4.923941646	4.499295737	4.747991796	4.582620605	4.289974751	4.40342199	4.838386165	4.670178473	4.192866564
ENSG00000083750	3.110508315	3.36907515	3.263833469	3.071218593	3.449647248	3.007197632	3.292184852	3.071269773	3.441869787	3.198049537	3.092963245	3.211155065	3.397113441	3.26081272	3.341592741	3.366776582	2.948488509	3.364627422	3.341177976	3.221371771	3.227071994	3.185749455	3.244456487	3.071315218	3.250278763	3.114816816	3.48202133	3.267862612	3.200067331	3.35064315	2.999574142	3.24671703	3.252687121	3.153855989	3.425252864	3.2897972	3.190458267	3.039713416	3.678740076	3.491010587	2.958465049
ENSG00000280206	3.536687824	3.711845509	3.346175939	3.234875671	2.883290317	3.452155485	3.57088846	3.548288655	3.573733419	3.687365526	3.477938125	4.054659227	3.627437429	3.413807539	3.311186483	3.266653836	4.057206288	3.561331356	3.414234845	3.385626809	3.422961025	3.681514586	3.418646882	3.554361035	3.510912119	3.489675043	2.727787134	3.5915986	3.258364732	3.720554534	3.509000289	3.959276152	2.687092331	3.74283255	3.347018546	3.237848404	3.748681124	3.518286284	3.280075463	3.451091453	3.727673394
ENSG00000069399	4.684859457	4.293319425	4.944960559	4.361699219	3.813306804	5.380489276	4.517564504	4.411140475	4.612463269	5.352475888	4.402263091	5.416457882	4.333021104	4.54957856	4.785504773	4.407909509	5.190729868	4.644998111	4.683753161	5.060345062	5.007288081	4.467629329	4.463119611	5.172965528	4.925891549	4.744042325	3.604511977	5.222765763	4.922060778	5.239174248	5.901310597	5.059113754	3.359455378	4.778334521	4.294686841	4.79972406	5.173347595	4.796890505	4.347935991	4.551443126	5.512933257
ENSG00000163191	8.111155699	8.128108756	7.904164559	7.326142278	6.676500762	8.239665233	8.002793788	8.344084406	7.85953143	8.639670767	7.918343213	8.835246833	7.525018372	7.609270702	8.244443015	7.596352451	8.344937358	7.761943055	7.650479019	8.322234401	8.202541879	7.637717303	7.766843303	8.748537871	8.041968352	7.873850039	6.284784992	8.267173483	8.317800522	8.584419087	8.720279798	8.328292932	6.800399876	7.780086459	7.468694382	7.858590074	8.104167746	7.983858038	7.493193349	7.489979276	8.436881415
ENSG00000131724	7.106308456	7.84071603	6.951989417	6.957869878	6.939045781	7.673763603	7.163589121	7.79794997	6.990159492	7.719252281	7.052533446	8.027037216	7.096116595	6.825813893	7.258902437	7.042345893	7.997076369	7.719137191	7.189310825	7.635096787	7.431643216	7.494200305	7.291621582	7.617227507	7.169077398	7.229114425	6.325309399	7.150104667	7.429054694	7.79141289	8.152751858	7.992801505	5.72048569	7.299125377	7.103997885	7.019209451	7.31453328	7.049529681	6.606314131	6.640237797	7.325218873
ENSG00000170558	0.499941778	2.007376554	-0.087423362	0.651249339	-1.202310614	1.410268482	0.335158995	1.648581615	-0.132698751	1.926185511	0.731762601	1.230345913	0.356448023	1.356900044	0.748946999	1.011598923	1.827312792	0.554589503	0.710673568	1.108934547	2.180028159	1.541111712	1.004418683	1.096081407	0.434042395	1.928895561	-0.072087228	1.142363294	0.770216813	0.237708272	1.62227998	1.777952804	-0.42327549	-0.222728664	-1.080215214	1.228479251	1.113722501	0.421234556	0.437853419	0.978245712	0.99837945
ENSG00000263528	4.940202904	5.102129709	5.434772615	5.428984741	5.58334765	5.276214298	5.442053544	5.222602536	5.227376476	4.757610188	5.242082603	4.760777259	5.444330864	5.422288929	5.241567178	5.375599425	5.021595196	5.453778379	5.481859449	5.40158418	5.07841274	5.286025281	5.27559688	5.154278594	5.012650827	5.090869954	5.716939465	5.247752115	5.043075415	5.42747712	4.915213997	5.243570024	5.504816976	5.377880037	5.302753108	5.384540342	5.155764368	5.136662966	5.360741579	5.372114836	5.18382682
ENSG00000267174	4.264805371	4.23848678	3.743445049	3.29889089	2.136530625	2.999512364	3.345444474	4.281816746	4.058445192	4.722306578	4.016775713	5.086823458	2.980165265	3.684357817	4.097104485	3.069451912	5.047411727	3.255208772	3.109410129	4.080517773	4.602826775	3.906686127	3.721953851	4.705652965	4.231051543	3.561229905	3.355719998	4.288522092	4.017993462	4.711090875	4.328664663	4.223965941	1.743682649	4.125294361	2.287819451	3.25101202	4.605329348	4.137154894	3.137169008	3.157866908	4.125481977
ENSG00000197852	7.33775531	7.492911636	7.309504733	6.726696751	5.996249992	7.850772902	7.365084932	7.501409179	7.122958948	7.840827057	7.218451792	8.216973695	6.596114358	6.836682877	7.578259661	7.187837998	7.950708199	7.229170606	7.180362752	7.571476904	7.372828467	7.490440836	7.210678182	7.916806236	7.520726832	7.290934578	6.303479718	7.396633662	7.290996043	7.718227627	7.642699361	7.854149498	6.058277684	7.146270719	7.334343573	7.40434228	7.425569331	7.143928831	6.853484014	7.033941716	7.373359007
ENSG00000072401	6.721555064	6.668690438	6.180926211	5.892154845	5.898328795	6.57257917	6.68002606	6.663022262	6.378942116	7.299615642	5.755569643	7.290940248	6.000261315	5.418676639	6.811949605	6.397812389	6.597932192	6.35985637	6.205398258	6.597201714	7.113853663	6.038194867	6.654321808	7.453389434	6.261445423	6.007938744	5.401519615	6.173906446	6.542640788	7.003801911	7.838892896	6.622224689	5.72048569	6.842150678	6.274256759	6.457192218	6.522336454	6.325838286	5.819995108	5.58278985	6.07312906
